Time [s],Value
0.000262000000000,0b  1111  1111  1111  1111
0.000430500000000,0b  1111  1111  1111  1111
0.000446500000000,0b  1111  1111  1111  1111
0.000464000000000,0b  1111  1111  1111  1111
0.000521000000000,0b  1111  1111  1111  1111
0.000537125000000,0b  1111  1111  1111  1111
0.000554500000000,0b  1111  1111  1111  1111
0.000611500000000,0b  1111  1111  1111  1111
0.000627625000000,0b  1111  1111  1111  1111
0.000645000000000,0b  1111  1111  1111  1111
0.000702000000000,0b  1111  1111  1111  1111
0.000718125000000,0b  1111  1111  1111  1111
0.000735500000000,0b  1111  1111  1111  1111
0.000792375000000,0b  1111  1111  1111  1111
0.000808500000000,0b  1111  1111  1111  1111
0.000825875000000,0b  1111  1111  1111  1111
0.000882875000000,0b  1111  1111  1111  1111
0.000898875000000,0b  1111  1111  1111  1111
0.000916250000000,0b  1111  1111  1111  1111
0.000973250000000,0b  1111  1111  1111  1111
0.000989375000000,0b  1111  1111  1111  1111
0.001006750000000,0b  1111  1111  1111  1111
0.001063625000000,0b  1111  1111  1111  1111
0.001079750000000,0b  1111  1111  1111  1111
0.001097125000000,0b  1111  1111  1111  1111
0.001154125000000,0b  1111  1111  1111  1111
0.001170250000000,0b  1111  1111  1111  1111
0.001187625000000,0b  1111  1111  1111  1111
0.001244625000000,0b  1111  1111  1111  1111
0.001260750000000,0b  1111  1111  1111  1111
0.001278125000000,0b  1111  1111  1111  1111
0.001335125000000,0b  1111  1111  1111  1111
0.001351250000000,0b  1111  1111  1111  1111
0.001368625000000,0b  1111  1111  1111  1111
0.001425625000000,0b  1111  1111  1111  1111
0.001441750000000,0b  1111  1111  1111  1111
0.001459125000000,0b  1111  1111  1111  1111
0.001516250000000,0b  1111  1111  1111  1111
0.001532250000000,0b  1111  1111  1111  1111
0.001549750000000,0b  1111  1111  1111  1111
0.001606750000000,0b  1111  1111  1111  1111
0.001622750000000,0b  1111  1111  1111  1111
0.001640250000000,0b  1111  1111  1111  1111
0.001697250000000,0b  1111  1111  1111  1111
0.001713375000000,0b  1111  1111  1111  1111
0.001730750000000,0b  1111  1111  1111  1111
0.001787750000000,0b  1111  1111  1111  1111
0.001803875000000,0b  1111  1111  1111  1111
0.001821250000000,0b  1111  1111  1111  1111
0.001878375000000,0b  1111  1111  1111  1111
0.001894375000000,0b  1111  1111  1111  1111
0.001911750000000,0b  1111  1111  1111  1111
0.001968875000000,0b  1111  1111  1111  1111
0.001984875000000,0b  1111  1111  1111  1111
0.002002375000000,0b  1111  1111  1111  1111
0.002059375000000,0b  1111  1111  1111  1111
0.002075500000000,0b  1111  1111  1111  1111
0.002092875000000,0b  1111  1111  1111  1111
0.002149750000000,0b  1111  1111  1111  1111
0.002165875000000,0b  1111  1111  1111  1111
0.002183250000000,0b  1111  1111  1111  1111
