Time [s],Value
0.000263000000000,0b  1111  1111  1111  1111
0.000431083333333,0b  1111  1111  1111  1111
0.000447125000000,0b  1111  1111  1111  1111
0.000464458333333,0b  1111  1111  1111  1111
0.000521458333333,0b  1111  1111  1111  1111
0.000537500000000,0b  1111  1111  1111  1111
0.000554875000000,0b  1111  1111  1111  1111
0.000611833333333,0b  1111  1111  1111  1111
0.000627916666667,0b  1111  1111  1111  1111
0.000645208333333,0b  1111  1111  1111  1111
0.000702125000000,0b  1111  1111  1111  1111
0.000718166666667,0b  1111  1111  1111  1111
0.000735500000000,0b  1111  1111  1111  1111
0.000792458333333,0b  1111  1111  1111  1111
0.000808500000000,0b  1111  1111  1111  1111
0.000825833333333,0b  1111  1111  1111  1111
0.000882791666667,0b  1111  1111  1111  1111
0.000898833333333,0b  1111  1111  1111  1111
0.000916166666667,0b  1111  1111  1111  1111
0.000973125000000,0b  1111  1111  1111  1111
0.000989166666667,0b  1111  1111  1111  1111
0.001006500000000,0b  1111  1111  1111  1111
0.001063458333333,0b  1111  1111  1111  1111
0.001079500000000,0b  1111  1111  1111  1111
0.001096833333333,0b  1111  1111  1111  1111
0.001153791666667,0b  1111  1111  1111  1111
0.001169833333333,0b  1111  1111  1111  1111
0.001187166666667,0b  1111  1111  1111  1111
0.001244125000000,0b  1111  1111  1111  1111
0.001260166666667,0b  1111  1111  1111  1111
0.001277500000000,0b  1111  1111  1111  1111
0.001334375000000,0b  1111  1111  1111  1111
0.001350458333333,0b  1111  1111  1111  1111
0.001367791666667,0b  1111  1111  1111  1111
0.001424708333333,0b  1111  1111  1111  1111
0.001440750000000,0b  1111  1111  1111  1111
0.001458083333333,0b  1111  1111  1111  1111
0.001515041666667,0b  1111  1111  1111  1111
0.001531083333333,0b  1111  1111  1111  1111
0.001548416666667,0b  1111  1111  1111  1111
0.001605333333333,0b  1111  1111  1111  1111
0.001621375000000,0b  1111  1111  1111  1111
0.001638708333333,0b  1111  1111  1111  1111
0.001695666666667,0b  1111  1111  1111  1111
0.001711750000000,0b  1111  1111  1111  1111
0.001729041666667,0b  1111  1111  1111  1111
0.001786000000000,0b  1111  1111  1111  1111
0.001802041666667,0b  1111  1111  1111  1111
0.001819375000000,0b  1111  1111  1111  1111
0.001876375000000,0b  1111  1111  1111  1111
0.001892416666667,0b  1111  1111  1111  1111
0.001909750000000,0b  1111  1111  1111  1111
0.001966708333333,0b  1111  1111  1111  1111
0.001982791666667,0b  1111  1111  1111  1111
0.002000083333333,0b  1111  1111  1111  1111
0.002057041666667,0b  1111  1111  1111  1111
0.002073083333333,0b  1111  1111  1111  1111
0.002090416666667,0b  1111  1111  1111  1111
0.002147375000000,0b  1111  1111  1111  1111
0.002163458333333,0b  1111  1111  1111  1111
0.002180791666667,0b  1111  1111  1111  1111
0.002237708333333,0b  1111  1111  1111  1111
0.002253750000000,0b  1111  1111  1111  1111
0.002271083333333,0b  1111  1111  1111  1111
0.002328041666667,0b  1111  1111  1111  1111
0.002344083333333,0b  1111  1111  1111  1111
0.002361416666667,0b  1111  1111  1111  1111
0.002418291666667,0b  1111  1111  1111  1111
0.002434375000000,0b  1111  1111  1111  1111
0.002451708333333,0b  1111  1111  1111  1111
0.002508625000000,0b  1111  1111  1111  1111
0.002524666666667,0b  1111  1111  1111  1111
0.002541958333333,0b  1111  1111  1111  1111
0.002668166666667,0b  1111  1111  1111  1111
0.002690750000000,0b  1111  1111  1111  1111
0.002706791666667,0b  1111  1111  1111  1111
0.002724375000000,0b  1111  1111  1111  1111
0.002741916666667,0b  1111  1111  1111  1111
0.002759500000000,0b  1111  1111  1111  1111
0.002777083333333,0b  1111  1111  1111  1111
0.002794625000000,0b  1111  1111  1111  1111
0.002812166666667,0b  1111  1111  1111  1111
0.002827500000000,0b  1111  1111  1111  1111
0.002863375000000,0b  1111  1111  1111  1111
0.002882208333333,0b  1111  1111  1111  1111
0.002947708333333,0b  1111  1111  1111  1111
0.002966541666667,0b  1111  1111  1111  1111
0.003024000000000,0b  1111  1111  1111  1111
0.003042833333333,0b  1111  1111  1111  1111
