Time [s],Value
0.000259458333333,0b  1111  1111  1111  1111
0.000427208333333,0b  1111  1111  1111  1111
0.000443208333333,0b  1111  1111  1111  1111
0.000460500000000,0b  1111  1111  1111  1111
0.000517333333333,0b  1111  1111  1111  1111
0.000533375000000,0b  1111  1111  1111  1111
0.000550625000000,0b  1111  1111  1111  1111
0.000607458333333,0b  1111  1111  1111  1111
0.000623500000000,0b  1111  1111  1111  1111
0.000640791666667,0b  1111  1111  1111  1111
0.000697625000000,0b  1111  1111  1111  1111
0.000713625000000,0b  1111  1111  1111  1111
0.000730875000000,0b  1111  1111  1111  1111
0.000787708333333,0b  1111  1111  1111  1111
0.000803708333333,0b  1111  1111  1111  1111
0.000820958333333,0b  1111  1111  1111  1111
0.000877833333333,0b  1111  1111  1111  1111
0.000893833333333,0b  1111  1111  1111  1111
0.000911125000000,0b  1111  1111  1111  1111
0.000967916666667,0b  1111  1111  1111  1111
0.000983916666667,0b  1111  1111  1111  1111
0.001001208333333,0b  1111  1111  1111  1111
0.001058000000000,0b  1111  1111  1111  1111
0.001074000000000,0b  1111  1111  1111  1111
0.001091250000000,0b  1111  1111  1111  1111
0.001148125000000,0b  1111  1111  1111  1111
0.001164125000000,0b  1111  1111  1111  1111
0.001181416666667,0b  1111  1111  1111  1111
0.001238291666667,0b  1111  1111  1111  1111
0.001254333333333,0b  1111  1111  1111  1111
0.001271583333333,0b  1111  1111  1111  1111
0.001328375000000,0b  1111  1111  1111  1111
0.001344375000000,0b  1111  1111  1111  1111
0.001361583333333,0b  1111  1111  1111  1111
0.001418375000000,0b  1111  1111  1111  1111
0.001434375000000,0b  1111  1111  1111  1111
0.001451625000000,0b  1111  1111  1111  1111
0.001508458333333,0b  1111  1111  1111  1111
0.001524458333333,0b  1111  1111  1111  1111
0.001541750000000,0b  1111  1111  1111  1111
0.001598500000000,0b  1111  1111  1111  1111
0.001614541666667,0b  1111  1111  1111  1111
0.001631791666667,0b  1111  1111  1111  1111
0.001688583333333,0b  1111  1111  1111  1111
0.001704583333333,0b  1111  1111  1111  1111
0.001721791666667,0b  1111  1111  1111  1111
0.001778666666667,0b  1111  1111  1111  1111
0.001794708333333,0b  1111  1111  1111  1111
0.001811958333333,0b  1111  1111  1111  1111
0.001868833333333,0b  1111  1111  1111  1111
0.001884875000000,0b  1111  1111  1111  1111
0.001902125000000,0b  1111  1111  1111  1111
0.001958875000000,0b  1111  1111  1111  1111
0.001974875000000,0b  1111  1111  1111  1111
0.001992125000000,0b  1111  1111  1111  1111
0.002048916666667,0b  1111  1111  1111  1111
0.002064958333333,0b  1111  1111  1111  1111
0.002082208333333,0b  1111  1111  1111  1111
0.002139083333333,0b  1111  1111  1111  1111
0.002155125000000,0b  1111  1111  1111  1111
0.002172375000000,0b  1111  1111  1111  1111
0.002229208333333,0b  1111  1111  1111  1111
0.002245250000000,0b  1111  1111  1111  1111
0.002262541666667,0b  1111  1111  1111  1111
0.002319375000000,0b  1111  1111  1111  1111
0.002335375000000,0b  1111  1111  1111  1111
0.002352625000000,0b  1111  1111  1111  1111
0.002409458333333,0b  1111  1111  1111  1111
0.002425458333333,0b  1111  1111  1111  1111
0.002442708333333,0b  1111  1111  1111  1111
0.002499541666667,0b  1111  1111  1111  1111
0.002515583333333,0b  1111  1111  1111  1111
0.002532875000000,0b  1111  1111  1111  1111
0.002658791666667,0b  1111  1111  1111  1111
0.002681333333333,0b  1111  1111  1111  1111
0.002697333333333,0b  1111  1111  1111  1111
0.002714875000000,0b  1111  1111  1111  1111
0.002732375000000,0b  1111  1111  1111  1111
0.002749916666667,0b  1111  1111  1111  1111
0.002767416666667,0b  1111  1111  1111  1111
0.002784916666667,0b  1111  1111  1111  1111
0.002802458333333,0b  1111  1111  1111  1111
0.002817708333333,0b  1111  1111  1111  1111
0.002853541666667,0b  1111  1111  1111  1111
0.002872291666667,0b  1111  1111  1111  1111
0.002937625000000,0b  1111  1111  1111  1111
0.002956416666667,0b  1111  1111  1111  1111
0.003013708333333,0b  1111  1111  1111  1111
0.003032500000000,0b  1111  1111  1111  1111
0.003076291666667,0b  1111  1111  1111  1111
0.003092291666667,0b  1111  1111  1111  1111
0.003109541666667,0b  1111  1111  1111  1111
0.003153375000000,0b  1111  1111  1111  1111
0.003169375000000,0b  1111  1111  1111  1111
0.003186666666667,0b  1111  1111  1111  1111
0.003234000000000,0b  1111  1111  1111  1111
0.003250041666667,0b  1111  1111  1111  1111
0.003267333333333,0b  1111  1111  1111  1111
0.003311125000000,0b  1111  1111  1111  1111
0.003327166666667,0b  1111  1111  1111  1111
0.003344416666667,0b  1111  1111  1111  1111
0.003388250000000,0b  1111  1111  1111  1111
0.003404291666667,0b  1111  1111  1111  1111
0.003474875000000,0b  1111  1111  1111  1111
0.003579541666667,0b  1111  1111  1111  1111
0.003582541666667,0b  1111  1111  1111  1111
0.003656666666667,0b  1111  1111  1111  1111
0.003719291666667,0b  1111  1111  1111  1111
0.003735291666667,0b  1111  1111  1111  1111
0.003796375000000,0b  1111  1111  1111  1111
0.003812416666667,0b  1111  1111  1111  1111
0.003877041666667,0b  1111  1111  1111  1111
0.003893041666667,0b  1111  1111  1111  1111
0.003954125000000,0b  1111  1111  1111  1111
0.003970166666667,0b  1111  1111  1111  1111
0.004031208333333,0b  1111  1111  1111  1111
0.004047250000000,0b  1111  1111  1111  1111
0.004117875000000,0b  1111  1111  1111  1111
0.004935458333333,0b  1111  1111  1111  1111
0.005060333333333,0b  1111  1111  1111  1110
0.005185208333333,0b  1111  1111  1111  1111
0.005310083333333,0b  1111  1111  1111  1110
0.005434958333333,0b  1111  1111  1111  1111
0.005559833333333,0b  1111  1111  1111  1110
0.005684708333333,0b  1111  1111  1111  1111
0.005809583333333,0b  1111  1111  1111  1110
0.005934458333333,0b  1111  1111  1111  1111
0.006059375000000,0b  1111  1111  1111  1110
0.006184208333333,0b  1111  1111  1111  1111
0.006309083333333,0b  1111  1111  1111  1110
0.006434000000000,0b  1111  1111  1111  1111
0.006558833333333,0b  1111  1111  1111  1110
0.006683708333333,0b  1111  1111  1111  1111
0.006808625000000,0b  1111  1111  1111  1110
0.006933458333333,0b  1111  1111  1111  1111
0.007058375000000,0b  1111  1111  1111  1110
0.007183250000000,0b  1111  1111  1111  1111
0.007308083333333,0b  1111  1111  1111  1110
0.007433000000000,0b  1111  1111  1111  1111
0.007557875000000,0b  1111  1111  1111  1110
0.007682708333333,0b  1111  1111  1111  1111
0.007807625000000,0b  1111  1111  1111  1110
0.007932500000000,0b  1111  1111  1111  1111
0.008057333333333,0b  1111  1111  1111  1110
0.008182250000000,0b  1111  1111  1111  1111
0.008307125000000,0b  1111  1111  1111  1110
0.008432000000000,0b  1111  1111  1111  1111
0.008556875000000,0b  1111  1111  1111  1111
